alpha,cv_mse,cv_std
5.462277217684337e-05,0.0003216144115732678,0.0006037770858271721
5.994842503189409e-05,0.0002963684174434396,0.0005541336581344782
6.579332246575683e-05,0.00026503709031643145,0.0004923175636495049
7.220809018385471e-05,0.00023589375275371357,0.00043485468373324025
7.924828983539186e-05,0.0002084585903041042,0.00038060380235121143
8.697490026177834e-05,0.00018072481339573306,0.0003258041288609336
9.545484566618347e-05,0.00015680299225914274,0.0002786471539390754
0.00010476157527896651,0.00013348552246085363,0.00023268928027595417
0.00011497569953977369,0.00011095408191240036,0.00018833737252692498
0.0001261856883066021,9.043483734221748e-05,0.00014801574773589665
0.00013848863713938732,7.280631548376577e-05,0.00011350876094058101
0.00015199110829529347,6.0750005018238184e-05,9.011688275867385e-05
0.0001668100537200059,5.033214936853576e-05,6.989357132485658e-05
0.00018307382802953696,4.6872857106184476e-05,6.348232490796075e-05
0.00020092330025650479,4.3290714256939625e-05,5.676925440514168e-05
0.00022051307399030456,4.145888446675112e-05,5.344368737486944e-05
0.00024201282647943835,4.017253857888831e-05,5.107497391445644e-05
0.00026560877829466864,3.7401178474507196e-05,4.5605211963138096e-05
0.00029150530628251786,3.534407215494436e-05,4.1550579030804065e-05
0.00031992671377973844,3.3567245321361355e-05,3.8046124816028445e-05
0.0003511191734215135,2.9168199031549677e-05,2.9307160451861184e-05
0.00038535285937105315,2.339274030413482e-05,1.791148055929121e-05
0.0004229242874389499,1.8992692681765544e-05,9.490891369956801e-06
0.0004641588833612782,1.6565562910323106e-05,5.40437740647572e-06
0.000509413801481638,1.635415254250601e-05,5.09471311843472e-06
0.0005590810182512228,1.6183408507068573e-05,4.87496471541936e-06
0.0006135907273413176,1.600917654700534e-05,4.676480299501666e-06
0.0006734150657750829,1.5892716383095656e-05,4.553085364208818e-06
0.0007390722033525783,1.5805098498513147e-05,4.467825822360286e-06
0.0008111308307896872,1.577146316731923e-05,4.436499382268611e-06
0.0008902150854450393,1.57711241805162e-05,4.43618773141687e-06
0.0009770099572992256,1.57711241805162e-05,4.43618773141687e-06
0.0010722672220103242,1.57711241805162e-05,4.43618773141687e-06
0.0011768119524349992,1.57711241805162e-05,4.43618773141687e-06
0.001291549665014884,1.57711241805162e-05,4.43618773141687e-06
0.0014174741629268063,1.57711241805162e-05,4.43618773141687e-06
0.0015556761439304723,1.57711241805162e-05,4.43618773141687e-06
0.0017073526474706922,1.57711241805162e-05,4.43618773141687e-06
0.001873817422860385,1.57711241805162e-05,4.43618773141687e-06
0.0020565123083486534,1.57711241805162e-05,4.43618773141687e-06
0.0022570197196339213,1.57711241805162e-05,4.43618773141687e-06
0.0024770763559917113,1.57711241805162e-05,4.43618773141687e-06
0.0027185882427329428,1.57711241805162e-05,4.43618773141687e-06
0.0029836472402833404,1.57711241805162e-05,4.43618773141687e-06
0.0032745491628777316,1.57711241805162e-05,4.43618773141687e-06
0.0035938136638046293,1.57711241805162e-05,4.43618773141687e-06
