alpha,DGS2_diff,USEPUINDXD_diff,VIXCLS,trade_sum,sanctions_sum,fed_pressure_sum,trade_max,sanctions_max,fed_pressure_max,trade_sum_ma3,sanctions_sum_ma3,fed_pressure_sum_ma3,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5,trade_sum_ma10,sanctions_sum_ma10,fed_pressure_sum_ma10
2.0092330025650458e-05,-0.0004999150766673203,0.0001866857600387398,-0.0005412895865962102,0.0,-0.0002882069415976099,-0.0001084387343569862,-0.0,0.00012372273883147212,0.00020411843865091012,-0.0,-8.125664689559872e-05,0.0,9.52351454621483e-05,0.00015108957288769895,0.00026444653942151776,-0.0,-0.0004120383459457876,-0.0005014700852095635
2.1544346900318867e-05,-0.0004987245795797993,0.00018539363362093524,-0.0005396936347373464,0.0,-0.0002674938430341197,-9.716052127943344e-05,-0.0,0.00010262749296446988,0.0001938995509817682,-0.0,-7.241144432173092e-05,0.0,9.352374377839649e-05,0.00013787204704471262,0.0002514402956643276,-0.0,-0.00040576036990198,-0.0004887090910432196
2.310129700083158e-05,-0.000497450457844731,0.0001840089395778069,-0.0005379835551106155,0.0,-0.00024529360288081027,-8.502653484872494e-05,-0.0,8.002013418795403e-05,0.00018292137278781874,-0.0,-6.293783060720485e-05,0.0,9.169298609061554e-05,0.0001237136279410461,0.0002374288560784755,-0.0,-0.00039903596297471115,-0.00047498171889756433
2.477076355991714e-05,-0.0004960807034358773,0.0001825205248218141,-0.0005361476761641614,0.0,-0.0002217167199007647,-7.208894074417488e-05,-0.0,5.5966695739493075e-05,0.00017119446223399433,-0.0,-5.2729920349763085e-05,0.0,8.972933547615754e-05,0.00010850852161864933,0.00022249152746803025,-0.0,-0.00039182083086569333,-0.0004603227450673997
2.656087782946684e-05,-0.0004946117098565832,0.0001809241603043943,-0.0005341788960296668,0.0,-0.00019646951151397322,-5.8221287991717466e-05,-0.0,3.020435096906167e-05,0.00015862363925809618,-0.0,-4.178132231287047e-05,0.0,8.762397011301895e-05,9.220476148705348e-05,0.00020647838852471092,-0.0,-0.00038408446868490906,-0.00044460713215044713
2.8480358684358048e-05,-0.0004930325887769991,0.00017921407961003983,-0.0005320662539079988,0.0,-0.00016909171543397095,-4.3398848744583696e-05,-0.0,2.314863988288318e-06,0.00014515967642183034,-0.0,-3.0067179422051708e-05,0.0,8.535247023518588e-05,7.470368890416663e-05,0.00018942388471417568,-0.0,-0.0003757698765257291,-0.0004278324952307637
3.053855508833412e-05,-0.0004912685857024848,0.00017708828356300527,-0.000529614863249858,0.0,-0.000165141933495607,-2.7727264500600635e-05,-0.0,0.0,0.00013095211791848172,-0.0,-1.7692634677093442e-05,0.0,8.339633847348828e-05,5.560010957642212e-05,0.00016958103992013849,-0.0,-0.00036700548253261657,-0.00040896404928198463
3.274549162877732e-05,-0.000489364472336109,0.00017477962370101812,-0.0005269669263352392,0.0,-0.0001632772530006884,-1.1067173676543278e-05,-0.0,0.0,0.00011581130003559373,-0.0,-4.365298897971621e-06,0.0,8.133330175345839e-05,3.505248078218897e-05,0.00014834505805261114,-0.0,-0.0003576086021294342,-0.0003887773899270344
3.511191734215127e-05,-0.00048711355025567133,0.00017239587251842884,-0.0005241986138415484,0.0,-0.00015852989307383727,-0.0,-0.0,0.0,0.00010434929667809028,-0.0,-0.0,0.0,7.907350496857296e-05,1.9768545243672082e-05,0.0001279291180278201,-0.0,-0.00034737470053013673,-0.0003680351293507371
3.7649358067924715e-05,-0.000484528231040905,0.0001698777016159492,-0.0005214317481838092,0.0,-0.0001519866048041185,-0.0,-0.0,0.0,0.00010054245241105248,-0.0,-0.0,0.0,7.626863886902296e-05,6.322522840983153e-06,0.000109966618722916,-0.0,-0.000336019955642753,-0.00034711928678224173
4.037017258596558e-05,-0.00048191319114771196,0.0001672069784210866,-0.0005184290459881058,0.0,-0.00014693193707800438,-0.0,-0.0,0.0,9.654955861107043e-05,-0.0,-0.0,0.0,7.229880679367075e-05,0.0,9.055020228783854e-05,-0.0,-0.00032917162233714195,-0.00032437081505248946
4.328761281083062e-05,-0.00047923945435245687,0.0001643674659163597,-0.0005151775899940962,0.0,-0.00014315690374093376,-0.0,-0.0,0.0,9.233910667045331e-05,-0.0,-0.0,0.0,6.723297218115604e-05,0.0,6.963182571899243e-05,-0.0,-0.00032628734502754823,-0.00029973434062120395
4.641588833612782e-05,-0.0004763718556546458,0.00016132251889122506,-0.000511690434894725,0.0,-0.00013910927604773114,-0.0,-0.0,0.0,8.782264418848908e-05,0.0,-0.0,0.0,6.180022084409918e-05,0.0,4.721587038900937e-05,-0.0,-0.00032319409518018097,-0.000273328696432844
4.977023564332114e-05,-0.00047329722733696416,0.00015805759568877803,-0.0005079515043396312,0.0,-0.00013476906833701419,-0.0,-0.0,0.0,8.298034265381351e-05,0.0,-0.0,0.0,5.597512234437605e-05,0.0,2.3175464522966358e-05,-0.0,-0.00031987747516053043,-0.0002450112018844025
5.3366992312063123e-05,-0.00046990828928746383,0.00015452346915580806,-0.0005038448607247005,0.0,-0.00013016668473295897,-0.0,-0.0,0.0,7.757221885625875e-05,0.0,-0.0,0.0,4.9652566219128636e-05,0.0,0.0,-0.0,-0.00031625181695104466,-0.0002167931793159598
