date,trade_max,sanctions_max,fed_pressure_max
2017-10-28,0.0,0.0,0.0
2017-10-29,0.0,0.0,0.0
2017-10-30,0.0,0.0,0.0
2017-10-31,0.0,20.0,0.0
2017-11-01,20.0,0.0,0.0
2017-11-02,10.0,0.0,95.0
2017-11-03,0.0,50.0,0.0
2017-11-04,0.0,0.0,0.0
2017-11-05,5.0,0.0,0.0
2017-11-06,0.0,0.0,0.0
2017-11-07,10.0,0.0,0.0
2017-11-08,50.0,20.0,0.0
2017-11-09,58.0,0.0,0.0
2017-11-10,20.0,0.0,0.0
2017-11-11,0.0,76.0,0.0
2017-11-12,10.0,0.0,0.0
2017-11-13,40.0,0.0,0.0
2017-11-14,77.0,0.0,0.0
2017-11-15,40.0,0.0,0.0
2017-11-16,0.0,27.0,0.0
2017-11-17,0.0,0.0,0.0
2017-11-18,0.0,0.0,0.0
2017-11-19,0.0,20.0,0.0
2017-11-20,40.0,0.0,0.0
2017-11-21,0.0,0.0,0.0
2017-11-22,0.0,0.0,0.0
2017-11-23,20.0,0.0,0.0
2017-11-24,0.0,0.0,0.0
2017-11-25,0.0,0.0,0.0
2017-11-26,0.0,0.0,0.0
2017-11-27,0.0,0.0,0.0
2017-11-28,20.0,0.0,0.0
2017-11-29,0.0,89.0,0.0
2017-11-30,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0
2017-12-02,0.0,0.0,0.0
2017-12-03,0.0,0.0,0.0
2017-12-04,20.0,0.0,0.0
2017-12-05,0.0,0.0,0.0
2017-12-06,0.0,0.0,0.0
2017-12-07,0.0,0.0,0.0
2017-12-08,0.0,0.0,52.0
2017-12-09,0.0,0.0,0.0
2017-12-10,20.0,0.0,0.0
2017-12-11,0.0,0.0,0.0
2017-12-12,20.0,0.0,30.0
2017-12-13,0.0,0.0,0.0
2017-12-14,0.0,0.0,0.0
2017-12-15,0.0,0.0,0.0
2017-12-16,0.0,0.0,0.0
2017-12-17,0.0,0.0,0.0
2017-12-18,10.0,0.0,0.0
2017-12-19,0.0,0.0,40.0
2017-12-20,0.0,0.0,0.0
2017-12-21,0.0,0.0,0.0
2017-12-22,0.0,90.0,0.0
2017-12-23,0.0,0.0,0.0
2017-12-24,0.0,0.0,0.0
2017-12-25,20.0,0.0,20.0
2017-12-26,0.0,0.0,0.0
2017-12-27,0.0,0.0,0.0
2017-12-28,50.0,0.0,0.0
2017-12-29,20.0,0.0,0.0
2017-12-30,40.0,15.0,0.0
2017-12-31,0.0,20.0,0.0
2018-01-01,50.0,20.0,0.0
2018-01-02,83.0,40.0,40.0
2018-01-03,0.0,50.0,0.0
2018-01-04,40.0,0.0,0.0
2018-01-05,0.0,0.0,0.0
2018-01-06,0.0,0.0,0.0
2018-01-07,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0
2018-01-11,10.0,20.0,0.0
2018-01-12,40.0,0.0,0.0
2018-01-13,40.0,0.0,0.0
2018-01-14,0.0,0.0,0.0
2018-01-15,0.0,0.0,0.0
2018-01-16,20.0,0.0,0.0
2018-01-17,70.0,0.0,0.0
2018-01-18,87.0,0.0,0.0
2018-01-19,0.0,0.0,0.0
2018-01-20,0.0,0.0,0.0
2018-01-21,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0
2018-01-23,20.0,0.0,0.0
2018-01-24,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0
2018-01-27,0.0,0.0,0.0
2018-01-28,20.0,0.0,0.0
2018-01-29,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0
2018-02-03,0.0,0.0,0.0
2018-02-04,0.0,0.0,0.0
2018-02-05,50.0,0.0,0.0
2018-02-06,0.0,0.0,0.0
2018-02-07,0.0,0.0,40.0
2018-02-08,10.0,0.0,0.0
2018-02-09,0.0,5.0,0.0
2018-02-10,0.0,0.0,0.0
2018-02-11,0.0,0.0,0.0
2018-02-12,0.0,0.0,0.0
2018-02-13,0.0,0.0,0.0
2018-02-14,0.0,0.0,0.0
2018-02-15,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0
2018-02-17,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0
2018-02-19,0.0,0.0,0.0
2018-02-20,0.0,10.0,0.0
2018-02-21,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0
2018-02-23,50.0,0.0,0.0
2018-02-24,0.0,0.0,0.0
2018-02-25,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0
2018-03-01,76.0,0.0,0.0
2018-03-02,70.0,0.0,0.0
2018-03-03,70.0,0.0,0.0
2018-03-04,0.0,0.0,0.0
2018-03-05,75.0,20.0,0.0
2018-03-06,20.0,5.0,0.0
2018-03-07,70.0,0.0,0.0
2018-03-08,40.0,0.0,0.0
2018-03-09,0.0,57.0,0.0
2018-03-10,40.0,20.0,0.0
2018-03-11,0.0,0.0,0.0
2018-03-12,40.0,0.0,0.0
2018-03-13,10.0,15.0,0.0
2018-03-14,40.0,0.0,0.0
2018-03-15,50.0,0.0,0.0
2018-03-16,0.0,0.0,0.0
2018-03-17,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.0
2018-03-19,0.0,0.0,0.0
2018-03-20,0.0,0.0,0.0
2018-03-21,0.0,0.0,0.0
2018-03-22,10.0,0.0,0.0
2018-03-23,40.0,0.0,0.0
2018-03-24,0.0,0.0,0.0
2018-03-25,20.0,0.0,0.0
2018-03-26,0.0,0.0,0.0
2018-03-27,20.0,0.0,0.0
2018-03-28,10.0,57.0,0.0
2018-03-29,50.0,0.0,0.0
2018-03-30,0.0,0.0,0.0
2018-03-31,40.0,0.0,0.0
2018-04-01,85.0,77.0,0.0
2018-04-02,45.0,0.0,0.0
2018-04-03,40.0,5.0,5.0
2018-04-04,70.0,20.0,0.0
2018-04-05,45.0,20.0,0.0
2018-04-06,50.0,0.0,0.0
2018-04-07,50.0,0.0,0.0
2018-04-08,40.0,17.0,0.0
2018-04-09,50.0,0.0,0.0
2018-04-10,40.0,0.0,0.0
2018-04-11,18.0,40.0,0.0
2018-04-12,20.0,0.0,40.0
2018-04-13,47.0,0.0,0.0
2018-04-14,0.0,0.0,0.0
2018-04-15,0.0,0.0,0.0
2018-04-16,44.0,35.0,68.0
2018-04-17,40.0,0.0,0.0
2018-04-18,40.0,0.0,0.0
2018-04-19,10.0,5.0,5.0
2018-04-20,40.0,20.0,0.0
2018-04-21,0.0,57.0,0.0
2018-04-22,40.0,0.0,0.0
2018-04-23,40.0,0.0,0.0
2018-04-24,0.0,0.0,0.0
2018-04-25,40.0,0.0,0.0
2018-04-26,40.0,20.0,0.0
2018-04-27,10.0,0.0,0.0
2018-04-28,40.0,0.0,0.0
2018-04-29,0.0,0.0,0.0
2018-04-30,20.0,0.0,0.0
2018-05-01,50.0,20.0,0.0
2018-05-02,20.0,0.0,0.0
2018-05-03,10.0,0.0,0.0
2018-05-04,0.0,0.0,0.0
2018-05-05,40.0,0.0,0.0
2018-05-06,0.0,0.0,0.0
2018-05-07,28.0,27.0,0.0
2018-05-08,25.0,40.0,0.0
2018-05-09,5.0,5.0,5.0
2018-05-10,0.0,20.0,0.0
2018-05-11,20.0,28.0,0.0
2018-05-12,20.0,40.0,0.0
2018-05-13,40.0,35.0,0.0
2018-05-14,20.0,10.0,2.0
2018-05-15,45.0,0.0,0.0
2018-05-16,45.0,0.0,0.0
2018-05-17,10.0,0.0,0.0
2018-05-18,0.0,0.0,0.0
2018-05-19,0.0,0.0,0.0
2018-05-20,0.0,0.0,0.0
2018-05-21,40.0,0.0,0.0
2018-05-22,0.0,0.0,0.0
2018-05-23,40.0,20.0,0.0
2018-05-24,0.0,0.0,0.0
2018-05-25,50.0,20.0,0.0
2018-05-26,0.0,5.0,0.0
2018-05-27,0.0,0.0,0.0
2018-05-28,14.0,0.0,0.0
2018-05-29,28.0,0.0,0.0
2018-05-30,0.0,0.0,0.0
2018-05-31,40.0,0.0,0.0
2018-06-01,40.0,0.0,0.0
2018-06-02,50.0,0.0,0.0
2018-06-03,0.0,0.0,0.0
2018-06-04,70.0,15.0,0.0
2018-06-05,30.0,0.0,0.0
2018-06-06,0.0,0.0,0.0
2018-06-07,45.0,45.0,95.0
2018-06-08,90.0,0.0,0.0
2018-06-09,85.0,35.0,0.0
2018-06-10,0.0,0.0,0.0
2018-06-11,75.0,30.0,0.0
2018-06-12,0.0,57.0,0.0
2018-06-13,20.0,0.0,0.0
2018-06-14,0.0,0.0,0.0
2018-06-15,10.0,5.0,5.0
2018-06-16,0.0,0.0,0.0
2018-06-17,40.0,57.0,0.0
2018-06-18,40.0,0.0,0.0
2018-06-19,5.0,0.0,0.0
2018-06-20,10.0,0.0,0.0
2018-06-21,40.0,0.0,0.0
2018-06-22,76.0,40.0,0.0
2018-06-23,70.0,30.0,0.0
2018-06-24,40.0,0.0,0.0
2018-06-25,70.0,0.0,0.0
2018-06-26,76.0,20.0,0.0
2018-06-27,58.0,0.0,0.0
2018-06-28,0.0,0.0,0.0
2018-06-29,10.0,0.0,0.0
2018-06-30,0.0,11.0,0.0
2018-07-01,0.0,0.0,0.0
2018-07-02,0.0,0.0,0.0
2018-07-03,40.0,0.0,0.0
2018-07-04,40.0,0.0,0.0
2018-07-05,0.0,0.0,0.0
2018-07-06,0.0,0.0,0.0
2018-07-07,0.0,0.0,0.0
2018-07-08,20.0,40.0,0.0
2018-07-09,50.0,20.0,0.0
2018-07-10,40.0,0.0,0.0
2018-07-11,50.0,39.0,0.0
2018-07-12,40.0,25.0,0.0
2018-07-13,5.0,3.0,2.0
2018-07-14,50.0,0.0,0.0
2018-07-15,25.0,20.0,0.0
2018-07-16,0.0,0.0,0.0
2018-07-17,60.0,0.0,0.0
2018-07-18,40.0,75.0,40.0
2018-07-19,40.0,90.0,0.0
2018-07-20,60.0,0.0,65.0
2018-07-21,0.0,0.0,0.0
2018-07-22,0.0,0.0,0.0
2018-07-23,0.0,95.0,0.0
2018-07-24,50.0,77.0,0.0
2018-07-25,60.0,0.0,0.0
2018-07-26,20.0,88.0,0.0
2018-07-27,40.0,0.0,0.0
2018-07-28,0.0,0.0,0.0
2018-07-29,40.0,0.0,0.0
2018-07-30,0.0,0.0,0.0
2018-07-31,50.0,20.0,5.0
2018-08-01,0.0,0.0,0.0
2018-08-02,25.0,0.0,0.0
2018-08-03,0.0,0.0,0.0
2018-08-04,40.0,0.0,0.0
2018-08-05,40.0,0.0,0.0
2018-08-06,45.0,0.0,0.0
2018-08-07,0.0,91.0,0.0
2018-08-08,50.0,0.0,0.0
2018-08-09,0.0,0.0,0.0
2018-08-10,95.0,90.0,0.0
2018-08-11,0.0,0.0,0.0
2018-08-12,40.0,0.0,0.0
2018-08-13,0.0,0.0,40.0
2018-08-14,10.0,5.0,0.0
2018-08-15,40.0,10.0,0.0
2018-08-16,40.0,77.0,0.0
2018-08-17,40.0,40.0,40.0
2018-08-18,20.0,0.0,40.0
2018-08-19,0.0,0.0,0.0
2018-08-20,40.0,40.0,0.0
2018-08-21,0.0,0.0,0.0
2018-08-22,0.0,0.0,0.0
2018-08-23,40.0,0.0,0.0
2018-08-24,31.0,0.0,0.0
2018-08-25,65.0,0.0,0.0
2018-08-26,0.0,0.0,0.0
