date,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5
2017-09-29,6.0,20.0,0.0
2017-09-30,8.0,20.0,0.0
2017-10-01,16.0,4.0,0.0
2017-10-02,12.0,4.0,0.0
2017-10-03,12.0,4.0,0.0
2017-10-04,10.0,4.0,0.0
2017-10-05,8.0,4.0,0.0
2017-10-06,0.0,0.0,0.0
2017-10-07,0.0,0.0,0.0
2017-10-08,0.0,9.4,0.0
2017-10-09,0.0,9.4,0.0
2017-10-10,0.0,9.4,0.0
2017-10-11,8.0,9.4,0.0
2017-10-12,8.0,9.4,0.0
2017-10-13,8.0,10.0,0.0
2017-10-14,19.6,19.0,0.0
2017-10-15,33.6,19.0,0.0
2017-10-16,31.6,19.0,0.0
2017-10-17,31.6,19.0,0.0
2017-10-18,33.6,17.0,0.0
2017-10-19,22.0,13.0,0.0
2017-10-20,8.0,13.0,0.0
2017-10-21,2.0,13.0,0.0
2017-10-22,2.0,13.0,0.0
2017-10-23,0.0,5.0,8.0
2017-10-24,8.0,0.0,8.0
2017-10-25,12.8,2.4,8.0
2017-10-26,12.8,2.4,8.0
2017-10-27,12.8,2.4,16.0
2017-10-28,12.8,2.4,8.0
2017-10-29,4.8,2.4,8.0
2017-10-30,0.0,0.0,8.0
2017-10-31,0.0,4.0,8.0
2017-11-01,4.0,4.0,0.0
2017-11-02,6.0,4.0,28.4
2017-11-03,6.0,14.0,28.4
2017-11-04,6.0,14.0,28.4
2017-11-05,7.0,10.0,28.4
2017-11-06,3.0,10.0,28.4
2017-11-07,3.0,10.0,0.0
2017-11-08,19.0,6.0,0.0
2017-11-09,34.6,6.0,0.0
2017-11-10,45.6,6.0,0.0
2017-11-11,45.6,21.2,0.0
2017-11-12,45.6,21.2,0.0
2017-11-13,41.6,15.2,0.0
2017-11-14,51.4,15.2,0.0
2017-11-15,47.4,15.2,0.0
2017-11-16,47.4,5.4,0.0
2017-11-17,45.4,5.4,0.0
2017-11-18,33.4,5.4,0.0
2017-11-19,8.0,9.4,0.0
2017-11-20,8.0,9.4,0.0
2017-11-21,8.0,4.0,0.0
2017-11-22,8.0,4.0,0.0
2017-11-23,12.0,4.0,0.0
2017-11-24,12.0,0.0,0.0
2017-11-25,4.0,0.0,0.0
2017-11-26,4.0,0.0,0.0
2017-11-27,4.0,0.0,0.0
2017-11-28,4.0,0.0,0.0
2017-11-29,4.0,17.8,0.0
2017-11-30,4.0,17.8,0.0
2017-12-01,4.0,17.8,0.0
2017-12-02,4.0,17.8,0.0
2017-12-03,0.0,17.8,0.0
2017-12-04,4.0,0.0,0.0
2017-12-05,4.0,0.0,0.0
2017-12-06,4.0,0.0,0.0
2017-12-07,4.0,0.0,0.0
2017-12-08,4.0,0.0,10.4
2017-12-09,0.0,0.0,10.4
2017-12-10,4.0,0.0,10.4
2017-12-11,4.0,0.0,10.4
2017-12-12,12.0,0.0,16.4
2017-12-13,12.0,0.0,6.0
2017-12-14,12.0,0.0,6.0
2017-12-15,8.0,0.0,6.0
2017-12-16,8.0,0.0,6.0
2017-12-17,0.0,0.0,0.0
2017-12-18,2.0,0.0,0.0
2017-12-19,2.0,0.0,8.0
2017-12-20,2.0,0.0,8.0
2017-12-21,2.0,0.0,8.0
2017-12-22,2.0,18.0,8.0
2017-12-23,0.0,18.0,8.0
2017-12-24,0.0,18.0,0.0
2017-12-25,4.0,18.0,4.0
2017-12-26,4.0,18.0,4.0
2017-12-27,4.0,0.0,4.0
2017-12-28,14.0,0.0,4.0
2017-12-29,18.0,0.0,4.0
2017-12-30,22.0,3.0,0.0
2017-12-31,22.0,10.0,0.0
2018-01-01,32.0,18.0,0.0
2018-01-02,46.6,42.0,8.0
2018-01-03,42.6,60.0,8.0
